Cl1984,CostzPr_6_84_1,CostzPr_6_84_2,MSAVI_22_06_84,NDVI_22_06_84,SAVI_22_06_84,CostzPr_6_84_3,CostzPr_6_84_4,CostzPr_6_84_5,CostzPr_6_84_6,entropy_22_6_84_b4,entropy_22_6_84_b5,entropy_22_6_84_b7,homogeneity_22_6_84_b4,homogeneity_22_6_84_b5,homogeneity_22_6_84_b7,mean_22_6_84_b4,mean_22_6_84_b5,mean_22_6_84_b7,variance_22_6_84_b4,variance_22_6_84_b5,variance_22_6_84_b7
Set,76,37,-1.024089336,-0.012345679,-0.018404908,41,40,68,44,2.04319191,1.676987767,1.445938706,0.661111116,0.611111104,0.722222209,0.3046875,0.274305552,0.184027776,90.3567276,72.92633057,32.86643982
Set,76,37,-1.024089336,-0.012345679,-0.018404908,41,40,68,44,2.04319191,1.676987767,1.445938706,0.661111116,0.611111104,0.722222209,0.3046875,0.274305552,0.184027776,90.3567276,72.92633057,32.86643982
Set,64,33,-0.648208678,0.093023255,0.138728321,39,47,71,41,1.416869402,1.320975304,1.262836695,0.638888896,0.694444418,0.694444418,0.360243052,0.285590291,0.172743052,125.8041611,76.16316223,28.03775597
Set,62,30,-0.47073558,0.150000006,0.223602489,34,46,75,43,1.416869402,1.416869402,1.310783625,0.722222209,0.805555582,0.666666687,0.361111104,0.294270843,0.170138896,125.5625,83.97259521,28.06521225
Set,60,30,-0.47073558,0.150000006,0.223602489,34,46,69,38,1.387799978,1.52295506,1.416869402,0.638888896,0.722222209,0.722222209,0.361979157,0.302083343,0.178819448,125.5430679,87.91764832,30.33870125
Set,67,34,-0.689729214,0.080459774,0.119999997,40,47,82,49,1.629040718,1.812142849,1.214889646,0.666666687,0.605555534,0.805555582,0.368055552,0.323784709,0.200520828,130.576828,103.1191711,39.23353195
Set,61,29,-0.36972478,0.185185179,0.276073605,33,48,71,40,1.291905999,1.12383604,1.291905999,0.75,0.833333313,0.777777791,0.363715291,0.300347209,0.175347224,127.9789352,87.95017242,30.37681389
Set,63,31,-0.632960021,0.097560972,0.145454541,37,45,72,40,1.416869402,1.41302371,1.134027719,0.644444466,0.561111093,0.649999976,0.359375,0.299479157,0.1796875,123.125679,85.92192841,31.5114727
Set,64,33,-0.648208678,0.093023255,0.138728321,39,47,71,41,1.416869402,1.320975304,1.262836695,0.638888896,0.694444418,0.694444418,0.360243052,0.285590291,0.172743052,125.8041611,76.16316223,28.03775597
Br,53,24,-0.372104824,0.184210524,0.274509817,31,45,76,32,0.52970618,0.839382946,0.998872638,0.888888896,0.861111104,0.694444418,0.340277791,0.306423604,0.134548604,113.6296768,89.87939453,17.85202217
Br,53,24,-0.407636523,0.171428576,0.255319148,29,41,77,33,0.848685563,0,1.166942596,0.944444418,1,0.638888896,0.324652791,0.3125,0.138020828,100.3959122,93.84765625,17.82287025
Br,49,21,-0.155530006,0.266666681,0.396694213,22,38,61,27,1.52295506,1.812142849,0.766212225,0.75,0.616666675,0.861111104,0.302951396,0.275173604,0.131076396,88.12364197,70.86161804,15.93944836
Br,53,26,-0.50297606,0.138888896,0.206896558,31,41,72,38,1.629040718,1.273028374,0.516285479,0.716666639,0.777777791,0.916666687,0.323784709,0.291666657,0.158854172,100.6355286,81.97396088,24.62361526
